Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,1078,64,65,5757.00,0.687565,135.212,986.425,2856.14,133377,0.00000,64.0836,64.9794,2.29007,2.29007,25.7676
Series 1.tif: x0 y0 w128 h128,1090,64,65,5546.00,0.652748,131.583,789.714,2948.25,103913,0.00000,64.1512,65.0256,2.18356,2.18356,27.9516
Series 1.tif: x0 y0 w128 h128,1152,64,64,6830.00,0.764369,140.031,851.666,3657.65,119260,0.00000,63.9744,64.8798,2.03734,2.03734,24.2565
Series 1.tif: x0 y0 w128 h128,1151,64,65,4336.00,0.607007,113.572,642.442,2559.78,72963.3,0.00000,64.2809,64.9955,2.05736,2.05736,31.4015
Series 1.tif: x0 y0 w128 h128,1153,64,64,6668.00,0.790856,138.631,714.044,3624.24,98988.4,0.00000,64.2683,64.8915,1.93034,1.93034,25.3024
Series 1.tif: x0 y0 w128 h128,1158,63,64,6870.00,0.719375,135.216,657.919,3400.55,88961.2,0.00000,63.9937,64.9331,1.98191,1.98191,27.4889
Series 1.tif: x0 y0 w128 h128,1156,63,64,6520.00,0.696777,134.679,1001.34,3080.75,134860,0.00000,63.8863,64.8831,2.25735,2.25735,25.2280
Series 1.tif: x0 y0 w128 h128,1159,64,64,7145.00,0.631027,136.355,799.718,3099.64,109046,0.00000,64.2055,64.6549,2.20635,2.20635,27.6084
Series 1.tif: x0 y0 w128 h128,1160,64,64,7733.00,0.689086,138.504,517.918,3501.00,71733.8,0.00000,64.0254,64.7047,1.72833,1.72833,26.7788
Series 1.tif: x0 y0 w128 h128,1154,64,64,8187.00,0.721874,138.275,1021.79,3065.09,141288,0.00000,64.3161,64.8547,2.21872,2.21872,24.2122
Series 1.tif: x0 y0 w128 h128,1161,63,64,5621.00,0.394699,136.781,355.436,3546.99,48617.1,0.00000,63.5822,64.8723,1.91338,1.91338,36.8702
