Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,678,64,64,6515.00,0.591659,179.230,688.031,2684.08,123316,0.00000,64.8476,64.4351,2.43936,2.43936,29.5452
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,679,64,64,6528.00,0.786733,178.344,548.684,2863.87,97854.4,0.00000,64.6571,64.4116,2.13888,2.13888,29.0734
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,680,64,64,6032.00,0.518068,179.326,367.900,3310.15,65974.0,0.00000,64.2849,64.5598,2.09903,2.09903,35.7026
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,681,64,64,6312.00,0.698718,180.553,309.962,3638.91,55964.6,0.00000,64.8590,64.8218,1.67951,1.67951,30.5738
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,682,64,64,7143.00,0.730891,179.816,333.459,3448.92,59961.2,0.00000,64.5056,64.6269,1.55209,1.55209,26.9784
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,683,64,64,6972.00,0.636380,178.876,224.540,3793.38,40164.8,0.00000,64.3897,64.6748,1.47479,1.47479,31.9624
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,684,64,64,5746.00,0.519890,177.584,648.434,2769.51,115152,0.00000,64.4336,64.6570,2.32586,2.32586,29.0922
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,685,63,64,7165.00,0.700664,176.830,346.916,3328.69,61345.1,0.00000,63.8768,64.5421,1.65632,1.65632,28.5189
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,686,64,64,6436.00,0.720251,175.684,479.558,3152.11,84250.8,0.00000,64.5765,64.5995,1.94253,1.94253,28.3926
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,688,64,64,7500.00,0.748419,177.975,369.561,3544.84,65772.5,0.00000,64.2568,64.7592,1.63486,1.63486,27.0690
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,689,64,64,6336.00,0.666513,175.453,926.835,2094.75,162616,0.00000,64.6201,64.6204,2.49152,2.49152,25.8619
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,757,64,64,7428.00,0.722916,177.192,177.623,3982.56,31473.4,0.00000,64.3661,64.7586,1.23805,1.23805,30.3162
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,758,64,64,7089.00,0.716689,178.461,689.039,2919.00,122966,0.00000,64.7931,64.3728,2.36265,2.36265,28.5481
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,759,64,64,7532.00,0.790417,182.723,369.317,3401.92,67482.5,0.00000,64.7191,64.5078,1.64370,1.64370,26.9203
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,760,64,64,7840.00,0.700872,179.255,557.178,2963.92,99877.1,0.00000,64.7447,64.5574,1.99264,1.99264,26.6158
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,761,64,64,6779.00,0.551742,182.169,340.506,3495.69,62029.6,0.00000,64.5262,64.4656,1.86332,1.86332,32.4027
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,762,64,64,6838.00,0.746510,181.689,679.486,2595.12,123455,0.00000,64.5511,64.6898,2.20558,2.20558,26.4684
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,763,64,64,6559.00,0.712528,182.020,602.088,2821.00,109592,0.00000,64.6177,64.5961,2.16625,2.16625,27.7380
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,764,64,64,6398.00,0.460260,181.522,200.834,3962.90,36455.6,0.00000,64.2081,64.6951,1.52665,1.52665,35.2109
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,764,67,80,2606.00,0.312135,181.522,13.7527,2101.77,2496.41,0.00000,66.9399,81.1973,0.310935,0.310935,37.0188
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,765,64,64,6899.00,0.613637,183.425,432.597,3260.51,79349.2,0.00000,64.2280,64.5545,1.98158,1.98158,30.1822
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,766,64,64,5768.00,0.534631,177.373,292.966,3568.51,51964.3,0.00000,64.4121,64.5295,1.71332,1.71332,32.5258
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,767,64,64,5055.00,0.535237,181.569,359.391,3338.05,65254.1,0.00000,64.3599,64.7477,1.86646,1.86646,31.5186
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,769,64,64,6534.00,0.666010,176.932,748.991,2644.09,132521,0.00000,64.4657,64.3588,2.34615,2.34615,27.1453
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,770,64,64,6935.00,0.629396,180.263,319.965,3508.67,57678.0,0.00000,64.4455,64.5153,1.71451,1.71451,30.7401
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,771,64,64,5800.00,0.592206,177.758,265.476,3683.66,47190.6,0.00000,64.6208,64.5802,1.66654,1.66654,33.3412
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,772,64,64,6001.00,0.641845,180.645,460.226,3143.87,83137.4,0.00000,64.5703,64.7826,1.96339,1.96339,29.0398
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,773,64,64,5436.00,0.654566,180.537,381.690,3149.15,68909.3,0.00000,64.8467,64.5280,1.84467,1.84467,30.1361
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,775,64,64,5859.00,0.638020,180.443,364.408,3370.70,65754.8,0.00000,64.5874,64.4258,1.79378,1.79378,30.0027
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,775,44,53,2297.00,0.345890,180.443,16.0809,1990.18,2901.69,0.00000,43.8941,54.0433,0.370579,0.370579,38.1605
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,776,64,64,7561.00,0.695207,178.840,322.572,3391.14,57688.7,0.00000,64.3026,64.4605,1.61670,1.61670,28.7904
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,777,64,65,5226.00,0.650961,179.463,546.235,2817.31,98028.9,0.00000,64.8999,65.0894,2.27091,2.27091,31.0691
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,844,64,64,5974.00,0.557513,174.891,650.545,2756.54,113774,0.00000,64.6167,64.5578,2.34071,2.34071,29.4410
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,846,64,64,6961.00,0.593263,180.887,232.215,3736.22,42004.7,0.00000,64.4843,64.4796,1.53130,1.53130,32.5279
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,847,64,64,6699.00,0.584621,180.500,362.223,3455.98,65381.3,0.00000,64.4163,64.2778,1.73759,1.73759,29.0655
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,848,64,64,6985.00,0.734273,180.936,449.323,3334.09,81298.7,0.00000,64.6188,64.7867,1.89917,1.89917,28.3572
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,849,64,64,5783.00,0.698519,179.520,467.208,3315.72,83873.4,0.00000,64.4648,64.6658,1.97619,1.97619,29.0810
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,850,64,64,6096.00,0.745505,175.460,764.050,2404.13,134060,0.00000,64.5746,64.2524,2.43398,2.43398,28.0535
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,851,64,64,7807.00,0.772678,181.271,220.321,3604.04,39938.0,0.00000,64.4175,64.6069,1.27564,1.27564,27.4577
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,852,64,64,6771.00,0.629427,184.995,329.249,3674.35,60909.4,0.00000,64.6646,64.6991,1.71773,1.71773,29.9702
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,853,64,64,6090.00,0.654302,177.880,855.636,2651.90,152200,0.00000,64.6033,64.4491,2.51706,2.51706,27.1645
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,854,65,64,5588.00,0.616411,177.920,582.693,2841.90,103673,0.00000,65.0111,64.3028,2.21215,2.21215,29.2031
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,855,64,63,5502.00,0.671097,181.794,918.850,2436.50,167041,0.00000,64.4337,63.8822,2.52918,2.52918,25.9964
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,856,64,64,6813.00,0.622568,178.117,414.739,3403.15,73872.2,0.00000,64.2427,64.5048,1.90877,1.90877,30.0351
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,857,64,64,7450.00,0.704338,177.169,426.456,3324.71,75554.8,0.00000,64.4276,64.4954,1.80705,1.80705,27.9130
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,858,64,64,7352.00,0.831929,181.727,555.831,2890.58,101009,0.00000,64.6256,64.4485,1.95414,1.95414,25.9347
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,859,64,64,6259.00,0.630155,178.769,260.101,3493.96,46497.9,0.00000,64.3380,64.3805,1.63322,1.63322,32.9044
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,860,64,64,7060.00,0.694192,177.460,359.961,3422.28,63878.8,0.00000,64.5234,64.3921,1.80291,1.80291,30.6022
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,860,49,73,2464.00,0.254193,177.460,27.4433,2174.81,4870.09,0.00000,50.0132,74.0413,0.285500,0.285500,24.0639
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,861,64,64,6056.00,0.573946,179.115,330.652,3339.80,59224.7,0.00000,64.5145,64.5822,1.74440,1.74440,30.8386
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,862,64,64,6856.00,0.626310,179.988,404.721,3253.58,72844.7,0.00000,64.6566,64.5578,1.92807,1.92807,30.6560
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,863,64,64,6975.00,0.778146,178.898,451.695,3142.79,80807.1,0.00000,64.7548,64.6710,1.84885,1.84885,27.5945
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,864,64,64,5752.00,0.650975,179.414,492.649,3009.03,88388.3,0.00000,64.6940,64.4744,1.96032,1.96032,27.9881
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,865,64,64,7727.00,0.686606,176.602,332.132,3462.05,58655.3,0.00000,64.1851,64.6776,1.73016,1.73016,30.6706
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,933,64,64,7375.00,0.713716,179.453,222.279,4019.17,39888.6,0.00000,64.8199,64.9262,1.27419,1.27419,27.4118
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,934,64,64,6149.00,0.659827,181.721,340.573,3587.69,61889.2,0.00000,64.5299,64.5593,1.76909,1.76909,30.6088
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,935,64,64,6843.00,0.710358,180.359,348.189,3690.21,62798.9,0.00000,64.7105,64.5130,1.76311,1.76311,30.2121
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,937,64,64,7980.00,0.713520,181.716,436.985,3182.73,79407.0,0.00000,64.9170,64.7172,1.76003,1.76003,26.4620
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,938,44,55,2353.00,0.481489,181.325,17.3107,1996.39,3138.87,0.00000,43.8661,55.9344,0.384166,0.384166,37.4520
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,939,64,64,6922.00,0.701764,181.937,438.617,3123.61,79800.6,0.00000,64.7484,64.6363,1.78532,1.78532,26.8037
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,940,64,64,5645.00,0.707479,179.822,519.422,2681.12,93403.4,0.00000,64.4326,64.4210,1.98582,1.98582,27.5325
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,941,64,64,5628.00,0.713699,179.012,1007.51,2063.20,180356,0.00000,64.8334,64.7384,2.64050,2.64050,26.0748
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,943,65,65,6017.00,0.724816,181.361,884.066,2127.67,160335,0.00000,64.9775,65.0358,2.44625,2.44625,25.6358
