Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,+/-,Signal,+/-,Angle,+/-,X,+/-,Y,+/-,X SD,+/-,Y SD,+/-,Precision (nm)
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,63,45,49,23270,0.704972,19.7354,372.846,232.497,0.0159745,7358.26,1.0862,0,0,-26.08090992,0.00858913,24.93561212,0.00857862,294.334,0.0182664,294.334,0.0182664,9.92661
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,64,45,49,26094,0.685694,19.8378,1063.46,88.6617,0.0551841,21096.7,6.3971,0,0,-66.48090992,0.00767553,37.35561212,0.00769528,427.031,0.043025,427.031,0.043025,7.78711
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,65,45,49,30238,0.648583,20.0886,292.158,262.153,0.0110585,5869.04,0.639625,0,0,-45.49090992,0.00808216,23.76561212,0.00808391,258.046,0.0130334,258.046,0.0130334,9.79544
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,67,45,49,29597,0.650236,20.2601,425.111,221.831,0.0167001,8612.77,1.15828,0,0,-71.20090992,0.00759652,27.26561212,0.00758738,298.858,0.0167128,298.858,0.0167128,9.12053
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,70,45,49,26827,0.622172,20.0567,962.17,107.431,0.0634452,19297.9,7.78693,0,0,-65.89090992,0.00931173,31.32561212,0.00931515,442.901,0.0582906,442.901,0.0582906,8.84494
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,71,45,49,31208,0.737749,20.2103,327.051,238.095,0.0123061,6609.8,0.75034,0,0,-25.72090992,0.00788161,-10.01438788,0.00788175,269.529,0.0137497,269.529,0.0137497,9.5682
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,72,45,49,22114,0.563667,20.1792,986.092,120.136,0.0611133,19898.6,7.42099,0,0,-72.53090992,0.00887245,35.59561212,0.00886698,439.741,0.0537251,439.741,0.0537251,8.57465
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,73,45,49,26949,0.789394,19.5818,390.584,234.696,0.0152609,7648.36,1.01797,0,0,-60.45090992,0.00798011,35.65561212,0.00799038,289.931,0.0164068,289.931,0.0164068,9.3744
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,74,45,49,25736,0.662477,19.9529,504.247,207.428,0.0224646,10061.2,1.77208,0,0,-62.48090992,0.00812296,40.74561212,0.00814811,328.945,0.0225163,328.945,0.0225163,9.27363
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,75,45,49,28545,0.729437,20.056,307.66,259.414,0.0111484,6170.44,0.650449,0,0,-48.45090992,0.00779669,42.35561212,0.00780994,259.77,0.0126469,259.77,0.0126469,9.50665
