Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,9079,63,64,4294.00,0.632537,149.319,201.110,2600.81,30029.7,0.00000,63.7030,64.2275,1.52011,1.52011,38.0268
Series 1.tif: x0 y0 w128 h128,9082,64,65,5549.00,0.688302,155.841,54.9740,2633.15,8567.23,0.00000,64.6196,65.3824,0.687459,0.687459,34.0302
Series 1.tif: x0 y0 w128 h128,9078,64,65,5397.00,0.545145,151.219,74.8654,2855.92,11321.1,0.00000,64.2445,65.6337,0.891737,0.891737,37.5125
Series 1.tif: x0 y0 w128 h128,9158,65,65,4396.00,0.723582,130.235,159.061,2233.79,20715.4,0.00000,65.0011,65.7090,1.05347,1.05347,31.2718
Series 1.tif: x0 y0 w128 h128,9175,64,64,4291.00,0.731975,147.535,183.727,2402.20,27106.1,0.00000,64.1152,64.3067,1.34591,1.34591,35.2421
Series 1.tif: x0 y0 w128 h128,9178,65,65,4059.00,0.621865,148.553,433.872,1702.93,64453.0,0.00000,64.9811,65.0812,2.24110,2.24110,37.8616
Series 1.tif: x0 y0 w128 h128,9250,64,64,3995.00,0.631429,148.302,357.394,2044.01,53002.1,0.00000,63.9944,64.5345,2.07953,2.07953,38.9178
Series 1.tif: x0 y0 w128 h128,9244,64,64,4563.00,0.643853,142.880,180.381,2252.80,25772.8,0.00000,64.5255,64.5643,1.46425,1.46425,39.5713
Series 1.tif: x0 y0 w128 h128,9255,64,64,3760.00,0.634384,147.616,419.983,1727.52,61996.4,0.00000,64.4738,64.8827,2.24956,2.24956,38.8404
Series 1.tif: x0 y0 w128 h128,9251,63,64,4688.00,0.613402,148.670,128.767,2645.76,19143.7,0.00000,63.6066,63.8434,1.11061,1.11061,34.9572
Series 1.tif: x0 y0 w128 h128,9252,63,64,4059.00,0.676033,148.555,227.844,2261.79,33847.4,0.00000,64.0314,64.5798,1.59438,1.59438,37.4099
Series 1.tif: x0 y0 w128 h128,9264,65,64,7339.00,0.821696,152.413,142.175,2606.94,21669.3,0.00000,65.7468,64.4698,0.865011,0.865011,25.4330
Series 1.tif: x0 y0 w128 h128,9331,64,64,3924.00,0.693821,145.266,157.144,2351.54,22827.6,0.00000,64.7156,65.1022,1.24693,1.24693,35.6972
Series 1.tif: x0 y0 w128 h128,9336,65,64,4415.00,0.695953,149.134,99.1267,2461.69,14783.2,0.00000,64.9435,64.9108,1.01503,1.01503,36.8132
Series 1.tif: x0 y0 w128 h128,9347,64,64,4493.00,0.597084,151.973,195.240,2333.68,29671.2,0.00000,64.8413,65.0959,1.46130,1.46130,36.7538
Series 1.tif: x0 y0 w128 h128,9347,63,80,2079.00,0.473673,151.973,22.1148,1790.12,3360.85,0.00000,63.9391,81.1162,0.331842,0.331842,31.7285
Series 1.tif: x0 y0 w128 h128,9419,64,64,3560.00,0.536237,148.769,623.759,1644.23,92796.0,0.00000,64.6170,64.8423,2.69331,2.69331,37.8285
Series 1.tif: x0 y0 w128 h128,9422,65,65,4598.00,0.583422,151.121,758.143,1465.40,114572,0.00000,64.9086,65.6477,2.58679,2.58679,32.1866
Series 1.tif: x0 y0 w128 h128,9424,64,64,3223.00,0.666320,148.856,616.941,1609.32,91835.4,0.00000,64.5455,65.0662,2.59305,2.59305,36.4689
Series 1.tif: x0 y0 w128 h128,9423,65,65,4228.00,0.598969,146.440,117.728,2558.45,17240.1,0.00000,65.3123,65.1369,1.18440,1.18440,39.6535
Series 1.tif: x0 y0 w128 h128,9425,64,64,3825.00,0.721586,149.939,392.410,1916.79,58837.4,0.00000,64.6926,64.8518,2.13675,2.13675,37.8555
Series 1.tif: x0 y0 w128 h128,9429,64,64,3318.00,0.548686,149.465,370.223,1961.33,55335.4,0.00000,64.3232,64.5514,2.16828,2.16828,39.8456
Series 1.tif: x0 y0 w128 h128,9428,64,65,4206.00,0.567010,150.493,513.785,1931.31,77320.9,0.00000,64.3097,64.9617,2.45160,2.45160,37.8193
Series 1.tif: x0 y0 w128 h128,9431,64,64,4121.00,0.642250,149.173,175.192,2378.99,26133.9,0.00000,64.7208,64.9604,1.43556,1.43556,38.6506
Series 1.tif: x0 y0 w128 h128,9433,64,64,3208.00,0.527847,148.649,592.206,1570.79,88031.0,0.00000,64.2318,64.6105,2.58375,2.58375,37.1975
Series 1.tif: x0 y0 w128 h128,9506,62,54,2187.00,0.406458,147.333,19.0210,1890.87,2802.42,0.00000,62.0473,53.8504,0.359268,0.359268,36.8815
Series 1.tif: x0 y0 w128 h128,9515,64,65,5717.00,0.583836,147.357,132.641,2460.96,19545.5,0.00000,64.2999,65.4528,1.27414,1.27414,39.9858
Series 1.tif: x0 y0 w128 h128,9589,64,65,4104.00,0.595231,132.830,467.658,1800.14,62118.8,0.00000,64.1464,65.8785,2.21237,2.21237,37.5675
Series 1.tif: x0 y0 w128 h128,9592,64,65,4307.00,0.610115,150.591,809.277,1322.65,121870,0.00000,64.3466,65.4510,2.68917,2.68917,32.4426
Series 1.tif: x0 y0 w128 h128,9591,64,65,4325.00,0.735944,147.100,208.130,2443.78,30615.9,0.00000,63.8725,65.8861,1.50226,1.50226,37.0499
Series 1.tif: x0 y0 w128 h128,9595,63,65,4356.00,0.705036,145.595,325.366,2035.42,47371.5,0.00000,63.9078,65.5059,1.91908,1.91908,37.8342
Series 1.tif: x0 y0 w128 h128,9597,64,65,5077.00,0.634865,149.097,136.302,2445.50,20322.3,0.00000,64.5105,65.1930,1.28767,1.28767,39.6241
Series 1.tif: x0 y0 w128 h128,9605,64,65,4248.00,0.672305,145.558,120.086,2296.09,17479.5,0.00000,64.5669,65.2895,1.16616,1.16616,38.6559
Series 1.tif: x0 y0 w128 h128,9678,52,65,2442.00,0.132353,152.011,17.6486,1975.70,2682.79,0.00000,52.0882,66.0287,0.304949,0.304949,34.1688
Series 1.tif: x0 y0 w128 h128,9682,64,64,5372.00,0.710024,151.149,248.205,2524.43,37515.9,0.00000,64.3968,64.4909,1.53433,1.53433,33.9250
Series 1.tif: x0 y0 w128 h128,9680,64,64,3831.00,0.623544,148.917,861.008,1412.55,128219,0.00000,64.2385,64.4777,2.76090,2.76090,32.4252
Series 1.tif: x0 y0 w128 h128,9687,64,64,3427.00,0.339416,148.893,704.247,1727.33,104858,0.00000,64.1913,64.4601,2.98925,2.98925,39.7011
Series 1.tif: x0 y0 w128 h128,9689,63,64,5686.00,0.707695,149.044,157.200,2599.08,23429.7,0.00000,63.9981,64.8052,1.20047,1.20047,33.8949
Series 1.tif: x0 y0 w128 h128,9690,64,64,4929.00,0.723524,149.912,247.792,2335.27,37147.0,0.00000,64.4308,64.5784,1.55411,1.55411,34.5560
Series 1.tif: x0 y0 w128 h128,9691,64,64,6726.00,0.881395,151.837,208.903,2704.46,31719.2,0.00000,64.4186,65.0452,1.06420,1.06420,25.4100
Series 1.tif: x0 y0 w128 h128,9695,64,65,4368.00,0.760897,147.367,124.520,2506.86,18350.1,0.00000,64.7322,65.3749,1.11571,1.11571,35.9339
Series 1.tif: x0 y0 w128 h128,9692,64,65,6544.00,0.830193,151.492,178.325,2689.14,27014.8,0.00000,64.5803,65.2317,1.04752,1.04752,27.2707
Series 1.tif: x0 y0 w128 h128,9693,64,65,6497.00,0.744218,148.937,171.696,2575.02,25571.9,0.00000,64.3182,65.2248,1.15585,1.15585,31.0294
Series 1.tif: x0 y0 w128 h128,9694,64,64,3012.00,0.593099,150.009,252.727,2294.02,37911.2,0.00000,64.0760,65.0820,1.76562,1.76562,39.3230
Series 1.tif: x0 y0 w128 h128,9688,64,64,5314.00,0.604344,153.199,231.591,2354.45,35479.6,0.00000,64.4334,64.4593,1.65489,1.65489,38.1176
Series 1.tif: x0 y0 w128 h128,9776,64,65,3907.00,0.641143,154.308,142.674,2455.97,22015.9,0.00000,63.9790,65.5150,1.33373,1.33373,39.5365
Series 1.tif: x0 y0 w128 h128,9772,68,76,2756.00,0.368498,153.383,19.9592,1862.53,3061.41,0.00000,68.9180,76.9635,0.336352,0.336352,33.7511
Series 1.tif: x0 y0 w128 h128,9781,63,65,4283.00,0.609801,150.884,425.369,1945.32,64181.2,0.00000,63.6702,65.0810,2.07093,2.07093,34.8313
Series 1.tif: x0 y0 w128 h128,9850,64,64,5529.00,0.635601,149.364,97.6244,2543.59,14581.5,0.00000,64.4434,64.9390,0.929250,0.929250,33.8654
Series 1.tif: x0 y0 w128 h128,9858,64,64,2966.00,0.596127,150.649,595.267,1611.33,89676.3,0.00000,64.4752,65.0742,2.61154,2.61154,37.3217
Series 1.tif: x0 y0 w128 h128,9869,63,65,4418.00,0.628166,147.820,90.1533,2496.43,13326.4,0.00000,64.1881,65.5607,0.960471,0.960471,36.8101
Series 1.tif: x0 y0 w128 h128,9949,64,65,3451.00,0.370905,149.916,700.859,1557.60,105070,0.00000,64.7994,65.2569,2.98396,2.98396,39.6158
