midlineX,midlineY,NPCCytox,NPCCytoy,BSKx,BSKy,centralX,centralY,cenx,ceny
94.4105824,-513.8736,164.4105824,-513.8736,24.4105824,-513.8736,74.4105824,-513.8736,114.4105824,-513.8736
93.7945824,-512.432,163.7945824,-512.432,23.7945824,-512.432,73.7945824,-512.432,113.7945824,-512.432
93.1801824,-510.9904,163.1801824,-510.9904,23.1801824,-510.9904,73.1801824,-510.9904,113.1801824,-510.9904
92.5673824,-509.5488,162.5673824,-509.5488,22.5673824,-509.5488,72.5673824,-509.5488,112.5673824,-509.5488
91.9545824,-508.1088,161.9545824,-508.1088,21.9545824,-508.1088,71.9545824,-508.1088,111.9545824,-508.1088
91.3433824,-506.6672,161.3433824,-506.6672,21.3433824,-506.6672,71.3433824,-506.6672,111.3433824,-506.6672
90.7337824,-505.2256,160.7337824,-505.2256,20.7337824,-505.2256,70.7337824,-505.2256,110.7337824,-505.2256
90.1257824,-503.784,160.1257824,-503.784,20.1257824,-503.784,70.1257824,-503.784,110.1257824,-503.784
89.5177824,-502.3424,159.5177824,-502.3424,19.5177824,-502.3424,69.5177824,-502.3424,109.5177824,-502.3424
88.9113824,-500.9008,158.9113824,-500.9008,18.9113824,-500.9008,68.9113824,-500.9008,108.9113824,-500.9008
88.3065824,-499.4592,158.3065824,-499.4592,18.3065824,-499.4592,68.3065824,-499.4592,108.3065824,-499.4592
87.7033824,-498.0176,157.7033824,-498.0176,17.7033824,-498.0176,67.7033824,-498.0176,107.7033824,-498.0176
87.1001824,-496.576,157.1001824,-496.576,17.1001824,-496.576,67.1001824,-496.576,107.1001824,-496.576
86.4985824,-495.1344,156.4985824,-495.1344,16.4985824,-495.1344,66.4985824,-495.1344,106.4985824,-495.1344
85.8985824,-493.6944,155.8985824,-493.6944,15.8985824,-493.6944,65.8985824,-493.6944,105.8985824,-493.6944
85.3001824,-492.2528,155.3001824,-492.2528,15.3001824,-492.2528,65.3001824,-492.2528,105.3001824,-492.2528
84.7017824,-490.8112,154.7017824,-490.8112,14.7017824,-490.8112,64.7017824,-490.8112,104.7017824,-490.8112
84.1049824,-489.3696,154.1049824,-489.3696,14.1049824,-489.3696,64.1049824,-489.3696,104.1049824,-489.3696
83.5097824,-487.928,153.5097824,-487.928,13.5097824,-487.928,63.5097824,-487.928,103.5097824,-487.928
82.9161824,-486.4864,152.9161824,-486.4864,12.9161824,-486.4864,62.9161824,-486.4864,102.9161824,-486.4864
82.3225824,-485.0448,152.3225824,-485.0448,12.3225824,-485.0448,62.3225824,-485.0448,102.3225824,-485.0448
81.7305824,-483.6032,151.7305824,-483.6032,11.7305824,-483.6032,61.7305824,-483.6032,101.7305824,-483.6032
81.1401824,-482.1616,151.1401824,-482.1616,11.1401824,-482.1616,61.1401824,-482.1616,101.1401824,-482.1616
80.5497824,-480.72,150.5497824,-480.72,10.5497824,-480.72,60.5497824,-480.72,100.5497824,-480.72
79.9625824,-479.28,149.9625824,-479.28,9.9625824,-479.28,59.9625824,-479.28,99.9625824,-479.28
79.3753824,-477.8384,149.3753824,-477.8384,9.3753824,-477.8384,59.3753824,-477.8384,99.3753824,-477.8384
78.7881824,-476.3968,148.7881824,-476.3968,8.7881824,-476.3968,58.7881824,-476.3968,98.7881824,-476.3968
78.2041824,-474.9552,148.2041824,-474.9552,8.2041824,-474.9552,58.2041824,-474.9552,98.2041824,-474.9552
77.6201824,-473.5136,147.6201824,-473.5136,7.6201824,-473.5136,57.6201824,-473.5136,97.6201824,-473.5136
77.0377824,-472.072,147.0377824,-472.072,7.0377824,-472.072,57.0377824,-472.072,97.0377824,-472.072
76.4569824,-470.6304,146.4569824,-470.6304,6.4569824,-470.6304,56.4569824,-470.6304,96.4569824,-470.6304
75.8777824,-469.1888,145.8777824,-469.1888,5.8777824,-469.1888,55.8777824,-469.1888,95.8777824,-469.1888
75.2985824,-467.7472,145.2985824,-467.7472,5.2985824,-467.7472,55.2985824,-467.7472,95.2985824,-467.7472
74.7209824,-466.3056,144.7209824,-466.3056,4.7209824,-466.3056,54.7209824,-466.3056,94.7209824,-466.3056
74.1449824,-464.8656,144.1449824,-464.8656,4.1449824,-464.8656,54.1449824,-464.8656,94.1449824,-464.8656
73.5689824,-463.424,143.5689824,-463.424,3.5689824,-463.424,53.5689824,-463.424,93.5689824,-463.424
72.9945824,-461.9824,142.9945824,-461.9824,2.9945824,-461.9824,52.9945824,-461.9824,92.9945824,-461.9824
72.4217824,-460.5408,142.4217824,-460.5408,2.4217824,-460.5408,52.4217824,-460.5408,92.4217824,-460.5408
71.8505824,-459.0992,141.8505824,-459.0992,1.8505824,-459.0992,51.8505824,-459.0992,91.8505824,-459.0992
71.2809824,-457.6576,141.2809824,-457.6576,1.2809824,-457.6576,51.2809824,-457.6576,91.2809824,-457.6576
70.7113824,-456.216,140.7113824,-456.216,0.7113824,-456.216,50.7113824,-456.216,90.7113824,-456.216
70.1433824,-454.7744,140.1433824,-454.7744,0.1433824,-454.7744,50.1433824,-454.7744,90.1433824,-454.7744
69.5753824,-453.3328,139.5753824,-453.3328,-0.4246176,-453.3328,49.5753824,-453.3328,89.5753824,-453.3328
69.0105824,-451.8912,139.0105824,-451.8912,-0.9894176,-451.8912,49.0105824,-451.8912,89.0105824,-451.8912
68.4457824,-450.4512,138.4457824,-450.4512,-1.5542176,-450.4512,48.4457824,-450.4512,88.4457824,-450.4512
67.8825824,-449.0096,137.8825824,-449.0096,-2.1174176,-449.0096,47.8825824,-449.0096,87.8825824,-449.0096
67.3209824,-447.568,137.3209824,-447.568,-2.6790176,-447.568,47.3209824,-447.568,87.3209824,-447.568
66.7593824,-446.1264,136.7593824,-446.1264,-3.2406176,-446.1264,46.7593824,-446.1264,86.7593824,-446.1264
66.1993824,-444.6848,136.1993824,-444.6848,-3.8006176,-444.6848,46.1993824,-444.6848,86.1993824,-444.6848
65.6409824,-443.2432,135.6409824,-443.2432,-4.3590176,-443.2432,45.6409824,-443.2432,85.6409824,-443.2432
65.0841824,-441.8016,135.0841824,-441.8016,-4.9158176,-441.8016,45.0841824,-441.8016,85.0841824,-441.8016
64.5273824,-440.36,134.5273824,-440.36,-5.4726176,-440.36,44.5273824,-440.36,84.5273824,-440.36
63.9721824,-438.9184,133.9721824,-438.9184,-6.0278176,-438.9184,43.9721824,-438.9184,83.9721824,-438.9184
63.4185824,-437.4768,133.4185824,-437.4768,-6.5814176,-437.4768,43.4185824,-437.4768,83.4185824,-437.4768
62.8665824,-436.0368,132.8665824,-436.0368,-7.1334176,-436.0368,42.8665824,-436.0368,82.8665824,-436.0368
62.3145824,-434.5952,132.3145824,-434.5952,-7.6854176,-434.5952,42.3145824,-434.5952,82.3145824,-434.5952
61.7641824,-433.1536,131.7641824,-433.1536,-8.2358176,-433.1536,41.7641824,-433.1536,81.7641824,-433.1536
61.2153824,-431.712,131.2153824,-431.712,-8.7846176,-431.712,41.2153824,-431.712,81.2153824,-431.712
60.6681824,-430.2704,130.6681824,-430.2704,-9.3318176,-430.2704,40.6681824,-430.2704,80.6681824,-430.2704
60.1209824,-428.8288,130.1209824,-428.8288,-9.8790176,-428.8288,40.1209824,-428.8288,80.1209824,-428.8288
59.5753824,-427.3872,129.5753824,-427.3872,-10.4246176,-427.3872,39.5753824,-427.3872,79.5753824,-427.3872
59.0313824,-425.9456,129.0313824,-425.9456,-10.9686176,-425.9456,39.0313824,-425.9456,79.0313824,-425.9456
58.4889824,-424.504,128.4889824,-424.504,-11.5110176,-424.504,38.4889824,-424.504,78.4889824,-424.504
57.9465824,-423.0624,127.9465824,-423.0624,-12.0534176,-423.0624,37.9465824,-423.0624,77.9465824,-423.0624
57.4057824,-421.6224,127.4057824,-421.6224,-12.5942176,-421.6224,37.4057824,-421.6224,77.4057824,-421.6224
56.8665824,-420.1808,126.8665824,-420.1808,-13.1334176,-420.1808,36.8665824,-420.1808,76.8665824,-420.1808
56.3289824,-418.7392,126.3289824,-418.7392,-13.6710176,-418.7392,36.3289824,-418.7392,76.3289824,-418.7392
55.7913824,-417.2976,125.7913824,-417.2976,-14.2086176,-417.2976,35.7913824,-417.2976,75.7913824,-417.2976
55.2553824,-415.856,125.2553824,-415.856,-14.7446176,-415.856,35.2553824,-415.856,75.2553824,-415.856
54.7209824,-414.4144,124.7209824,-414.4144,-15.2790176,-414.4144,34.7209824,-414.4144,74.7209824,-414.4144
54.1865824,-412.9728,124.1865824,-412.9728,-15.8134176,-412.9728,34.1865824,-412.9728,74.1865824,-412.9728
53.6553824,-411.5312,123.6553824,-411.5312,-16.3446176,-411.5312,33.6553824,-411.5312,73.6553824,-411.5312
53.1241824,-410.0896,123.1241824,-410.0896,-16.8758176,-410.0896,33.1241824,-410.0896,73.1241824,-410.0896
52.5929824,-408.648,122.5929824,-408.648,-17.4070176,-408.648,32.5929824,-408.648,72.5929824,-408.648
52.0649824,-407.208,122.0649824,-407.208,-17.9350176,-407.208,32.0649824,-407.208,72.0649824,-407.208
51.5369824,-405.7664,121.5369824,-405.7664,-18.4630176,-405.7664,31.5369824,-405.7664,71.5369824,-405.7664
51.0105824,-404.3248,121.0105824,-404.3248,-18.9894176,-404.3248,31.0105824,-404.3248,71.0105824,-404.3248
50.4857824,-402.8832,120.4857824,-402.8832,-19.5142176,-402.8832,30.4857824,-402.8832,70.4857824,-402.8832
49.9625824,-401.4416,119.9625824,-401.4416,-20.0374176,-401.4416,29.9625824,-401.4416,69.9625824,-401.4416
49.4393824,-400,119.4393824,-400,-20.5606176,-400,29.4393824,-400,69.4393824,-400
48.9177824,-398.5584,118.9177824,-398.5584,-21.0822176,-398.5584,28.9177824,-398.5584,68.9177824,-398.5584
48.3961824,-397.1168,118.3961824,-397.1168,-21.6038176,-397.1168,28.3961824,-397.1168,68.3961824,-397.1168
47.8777824,-395.6752,117.8777824,-395.6752,-22.1222176,-395.6752,27.8777824,-395.6752,67.8777824,-395.6752
47.3593824,-394.2336,117.3593824,-394.2336,-22.6406176,-394.2336,27.3593824,-394.2336,67.3593824,-394.2336
46.8425824,-392.792,116.8425824,-392.792,-23.1574176,-392.792,26.8425824,-392.792,66.8425824,-392.792
46.3273824,-391.352,116.3273824,-391.352,-23.6726176,-391.352,26.3273824,-391.352,66.3273824,-391.352
45.8121824,-389.9104,115.8121824,-389.9104,-24.1878176,-389.9104,25.8121824,-389.9104,65.8121824,-389.9104
