midlineX,midlineY,NPCCytox,NPCCytoy,BSKx,BSKy,NucChnlX,NucChnlY,CytChnlx,CytChnly
11.42363,-640.54054,81.42363,-640.54054,-88.57637,-640.54054,-8.57637,-640.54054,31.42363,-640.54054
11.66205,-638.37838,81.66205,-638.37838,-88.33795,-638.37838,-8.33795,-638.37838,31.66205,-638.37838
11.89961,-636.21622,81.89961,-636.21622,-88.10039,-636.21622,-8.10039,-636.21622,31.89961,-636.21622
12.1363,-634.05405,82.1363,-634.05405,-87.8637,-634.05405,-7.8637,-634.05405,32.1363,-634.05405
12.37212,-631.89189,82.37212,-631.89189,-87.62788,-631.89189,-7.62788,-631.89189,32.37212,-631.89189
12.60708,-629.72973,82.60708,-629.72973,-87.39292,-629.72973,-7.39292,-629.72973,32.60708,-629.72973
12.84117,-627.56757,82.84117,-627.56757,-87.15883,-627.56757,-7.15883,-627.56757,32.84117,-627.56757
13.0744,-625.40541,83.0744,-625.40541,-86.9256,-625.40541,-6.9256,-625.40541,33.0744,-625.40541
13.30676,-623.24324,83.30676,-623.24324,-86.69324,-623.24324,-6.69324,-623.24324,33.30676,-623.24324
13.53825,-621.08108,83.53825,-621.08108,-86.46175,-621.08108,-6.46175,-621.08108,33.53825,-621.08108
13.76888,-618.91892,83.76888,-618.91892,-86.23112,-618.91892,-6.23112,-618.91892,33.76888,-618.91892
13.99865,-616.75676,83.99865,-616.75676,-86.00135,-616.75676,-6.00135,-616.75676,33.99865,-616.75676
14.22754,-614.59459,84.22754,-614.59459,-85.77246,-614.59459,-5.77246,-614.59459,34.22754,-614.59459
14.45558,-612.43243,84.45558,-612.43243,-85.54442,-612.43243,-5.54442,-612.43243,34.45558,-612.43243
14.68274,-610.27027,84.68274,-610.27027,-85.31726,-610.27027,-5.31726,-610.27027,34.68274,-610.27027
14.90904,-608.10811,84.90904,-608.10811,-85.09096,-608.10811,-5.09096,-608.10811,34.90904,-608.10811
15.13448,-605.94595,85.13448,-605.94595,-84.86552,-605.94595,-4.86552,-605.94595,35.13448,-605.94595
15.35905,-603.78378,85.35905,-603.78378,-84.64095,-603.78378,-4.64095,-603.78378,35.35905,-603.78378
15.58275,-601.62162,85.58275,-601.62162,-84.41725,-601.62162,-4.41725,-601.62162,35.58275,-601.62162
15.80559,-599.45946,85.80559,-599.45946,-84.19441,-599.45946,-4.19441,-599.45946,35.80559,-599.45946
16.02756,-597.2973,86.02756,-597.2973,-83.97244,-597.2973,-3.97244,-597.2973,36.02756,-597.2973
16.24867,-595.13514,86.24867,-595.13514,-83.75133,-595.13514,-3.75133,-595.13514,36.24867,-595.13514
16.46891,-592.97297,86.46891,-592.97297,-83.53109,-592.97297,-3.53109,-592.97297,36.46891,-592.97297
16.68829,-590.81081,86.68829,-590.81081,-83.31171,-590.81081,-3.31171,-590.81081,36.68829,-590.81081
16.9068,-588.64865,86.9068,-588.64865,-83.0932,-588.64865,-3.0932,-588.64865,36.9068,-588.64865
17.12444,-586.48649,87.12444,-586.48649,-82.87556,-586.48649,-2.87556,-586.48649,37.12444,-586.48649
17.34122,-584.32432,87.34122,-584.32432,-82.65878,-584.32432,-2.65878,-584.32432,37.34122,-584.32432
17.55713,-582.16216,87.55713,-582.16216,-82.44287,-582.16216,-2.44287,-582.16216,37.55713,-582.16216
17.77218,-580,87.77218,-580,-82.22782,-580,-2.22782,-580,37.77218,-580
17.98636,-577.83784,87.98636,-577.83784,-82.01364,-577.83784,-2.01364,-577.83784,37.98636,-577.83784
18.19968,-575.67568,88.19968,-575.67568,-81.80032,-575.67568,-1.80032,-575.67568,38.19968,-575.67568
18.41213,-573.51351,88.41213,-573.51351,-81.58787,-573.51351,-1.58787,-573.51351,38.41213,-573.51351
18.62371,-571.35135,88.62371,-571.35135,-81.37629,-571.35135,-1.37629,-571.35135,38.62371,-571.35135
18.83443,-569.18919,88.83443,-569.18919,-81.16557,-569.18919,-1.16557,-569.18919,38.83443,-569.18919
19.04429,-567.02703,89.04429,-567.02703,-80.95571,-567.02703,-0.95571,-567.02703,39.04429,-567.02703
19.25327,-564.86486,89.25327,-564.86486,-80.74673,-564.86486,-0.746729999999999,-564.86486,39.25327,-564.86486
19.4614,-562.7027,89.4614,-562.7027,-80.5386,-562.7027,-0.538599999999999,-562.7027,39.4614,-562.7027
19.66865,-560.54054,89.66865,-560.54054,-80.33135,-560.54054,-0.33135,-560.54054,39.66865,-560.54054
19.87504,-558.37838,89.87504,-558.37838,-80.12496,-558.37838,-0.124960000000002,-558.37838,39.87504,-558.37838
20.08057,-556.21622,90.08057,-556.21622,-79.91943,-556.21622,0.080570000000002,-556.21622,40.08057,-556.21622
20.28523,-554.05405,90.28523,-554.05405,-79.71477,-554.05405,0.285229999999999,-554.05405,40.28523,-554.05405
